Campaign,Campaign Type,Campaign Status,Budget,Budget Type,Networks,Bid Strategy Type,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Ad Group Negative Keyword,Campaign Negative Keyword,Ad Status,Ad Type,Headline 1,Headline 1 Position,Headline 2,Headline 2 Position,Headline 3,Headline 3 Position,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 1 Position,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
Search - Modular - South Shore,Search,Enabled,58,Daily,Google search,Maximize clicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,Search,Enabled,8,Daily,Google search,Maximize clicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,15,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,15,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,15,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,4,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,custom modular home builder,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,custom modular home builder,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home company,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home company,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder south shore,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder south shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder massachusetts,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder massachusetts,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder plymouth county,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder plymouth county,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,prefab home builder ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,prefab home builder ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder marshfield ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder marshfield ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder scituate ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder scituate ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder duxbury ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder duxbury ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder pembroke ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder pembroke ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder norwell ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder norwell ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder hanover ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder hanover ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder hingham ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder hingham ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder humarock ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,modular home builder humarock ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new home builder near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new home builder near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builders massachusetts,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builders massachusetts,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new home construction company south shore,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new home construction company south shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new construction home builder south shore,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new construction home builder south shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder marshfield ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder marshfield ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,home builders marshfield ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new construction home builder marshfield,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,build a new home marshfield ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder scituate ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder scituate ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,home builders scituate ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new construction home builder scituate,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,build a new home scituate ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder duxbury ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder duxbury ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,home builders duxbury ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new construction home builder duxbury,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,build a new home duxbury ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder hingham ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder hingham ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,home builders hingham ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new construction home builder hingham,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,build a new home hingham ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder hanover ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,custom home builder hanover ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,home builders hanover ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,new construction home builder hanover,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,build a new home hanover ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,modular adu,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
